group_id,pos_x_mpc,pos_y_mpc,pos_z_mpc,mass_200c_1e14Msun,r_200c_mpc
0,42.558712,47.237324,149.0694,8.411273,1.9185371
1,80.37717,121.84297,195.65886,3.4248343,1.4219534
2,44.948685,53.567722,144.79321,4.943956,1.6070976
3,119.61098,67.3838,195.58073,4.191106,1.5209762
4,134.82458,34.61109,34.482624,2.6232538,1.3010161
5,39.79179,98.424706,112.330055,3.5063736,1.4331532
6,197.54146,114.19459,200.87627,2.932214,1.3502302
7,86.00053,81.78176,53.244377,3.1447775,1.3820953
8,95.040726,104.0513,81.2095,2.9139075,1.3474039
9,94.11109,30.969826,10.884202,3.1444478,1.3820149
10,203.88857,105.580864,190.33585,2.9582648,1.3542501
11,58.920696,8.4356,99.631294,2.9806335,1.3576112
12,101.632256,22.851048,137.8769,2.7464364,1.3211133
13,189.82391,104.69225,164.58488,1.751728,1.137165
14,47.460583,71.15503,143.62788,2.6176527,1.3001362
15,48.91082,75.74717,140.63359,2.3105874,1.2471384
16,47.05446,188.59482,99.70267,1.5191652,1.0844413
17,71.80588,44.55068,158.15602,1.1469088,0.9874563
18,116.485085,65.041145,35.351444,1.8081912,1.1492754
19,169.782,175.60585,103.79772,1.8666048,1.1615237
20,79.13335,144.61076,104.562965,0.9110571,0.9145086
21,56.039055,48.239944,3.7008984,1.9687189,1.1823556
22,83.5963,142.33989,153.32048,1.8144566,1.1506045
23,19.391874,173.18813,14.195492,1.3805414,1.0504079
24,44.27465,88.956345,83.15492,1.5527087,1.0924004
25,162.25523,167.48698,64.83656,0.4084637,0.6999426
26,50.86223,50.09029,60.519207,1.8487155,1.1578225
27,17.644287,141.4619,99.5538,1.7405652,1.1347605
28,54.129406,142.28108,81.20734,1.7297888,1.1324297
29,173.47203,30.101225,157.7611,1.7560054,1.1381279
30,35.75164,43.275658,136.9949,0.8208907,0.883266
31,149.05359,179.52847,87.88284,1.7086922,1.1277939
32,50.380123,32.250145,174.81488,1.4109414,1.0580308
33,1.2517874,111.741776,193.82289,1.604503,1.1043799
34,52.984886,179.1659,102.48284,1.3568155,1.0443516
35,55.111195,187.18214,65.88389,1.263676,1.0199066
36,149.20264,52.701077,159.0875,1.5100242,1.0822754
37,166.04793,33.424675,160.7036,1.387414,1.0521752
38,177.72539,81.35204,204.15036,1.4889742,1.0772092
39,146.87097,18.881058,116.68737,1.6049988,1.104504
40,100.490204,204.44449,33.911106,1.3798013,1.0502079
41,145.65514,59.507694,139.29695,1.1712555,0.99438137
42,202.39494,113.36472,195.37788,1.5357924,1.0884134
43,105.862526,89.838005,106.268036,0.76312053,0.8620716
44,82.27579,74.84373,48.86887,1.2133034,1.0061411
45,129.01465,96.07962,50.432022,1.0380942,0.95516056
46,170.7159,68.58652,167.04053,1.2712706,1.0219421
47,29.52729,39.82466,140.98439,1.4016949,1.0557704
48,144.18129,17.579075,144.29247,1.4010903,1.0556204
49,164.28596,90.03667,7.3496895,0.9715913,0.93431306
50,82.42686,35.929054,13.75764,1.3329724,1.03822
51,10.857411,122.881355,195.68109,1.1435602,0.9864902
52,85.80353,192.42537,67.19709,1.2778213,1.0236831
53,46.769375,42.35862,156.10953,1.1046582,0.97519475
54,183.78894,60.194347,174.06435,1.1896677,0.9995988
55,62.50841,46.062984,29.561527,1.0824522,0.9685941
56,171.1243,112.99923,159.36638,1.2795333,1.024118
57,23.272259,177.3175,18.344639,0.8540238,0.8950393
58,149.88126,130.89977,154.36502,1.2480533,1.0156473
59,147.83217,26.877924,111.02507,0.71780425,0.8446498
60,50.969044,39.259407,164.00214,0.4661487,0.73144746
61,126.8491,179.46014,72.07831,1.309043,1.0319256
62,86.33672,161.48102,9.690758,1.0589473,0.96151954
63,62.776825,18.58024,124.91013,0.8358421,0.888632
64,47.59102,54.3577,63.172752,0.85345006,0.8948202
65,38.302204,153.7809,75.75702,1.2493246,1.0160218
66,8.778219,5.55941,124.63673,1.1835057,0.99781996
67,186.0997,107.8596,192.55206,0.5115323,0.75445855
68,69.77817,106.96892,61.789715,0.90473026,0.91239405
69,153.99043,97.08262,179.0379,1.0323023,0.95342755
70,175.40782,114.79821,164.6979,0.8329697,0.88761103
71,55.800903,136.89444,53.407166,1.0792246,0.9676518
72,92.67047,77.617226,35.81477,0.6321908,0.8096295
73,158.9438,102.83898,48.01817,1.001994,0.94398934
74,110.25365,147.0863,201.19301,1.0360621,0.9545531
75,104.463486,5.5377574,30.31638,1.1487283,0.98796
76,146.77618,88.53558,7.4878287,0.7129249,0.8427451
77,2.8740904,2.6283288,143.13515,0.98975945,0.94013155
78,156.72548,29.33936,88.77697,0.8872219,0.90646005
79,189.76459,189.82652,86.47658,1.1303804,0.9826955
80,178.55717,53.04409,54.063213,0.85870963,0.89663476
81,17.571608,182.55196,56.776253,0.96375185,0.9317915
82,168.69159,183.005,34.622364,1.1077684,0.97608054
83,49.962074,185.08112,101.53902,0.7989587,0.87533784
84,98.385376,14.295535,129.98366,0.8277582,0.8857266
85,58.98789,30.070345,58.227757,0.7277033,0.8485244
86,139.27167,55.42199,12.711826,0.99195653,0.9408387
87,80.204834,177.98666,54.543453,0.9962689,0.9421723
88,117.36746,94.54992,90.53551,1.0516613,0.9593034
89,60.778862,130.62155,76.967865,0.71524477,0.8436431
90,125.89996,51.548523,22.055546,0.8281699,0.88587284
91,166.21053,168.02086,58.56096,0.8804025,0.9041447
92,171.89676,24.856415,161.10544,0.89277184,0.90836525
93,196.88327,152.36319,185.91103,0.8478903,0.89286196
94,50.191917,58.422913,140.97202,0.5062513,0.7518645
95,167.23346,56.251846,64.99544,0.997218,0.94247895
96,82.26488,17.43501,144.27318,0.7985995,0.875229
97,34.183964,77.73652,145.55258,0.8785352,0.9034756
98,76.60043,39.881325,16.290758,0.8899284,0.90739197
99,69.11835,144.497,135.11108,0.9390785,0.9237923
100,79.077354,193.29306,123.43508,0.8793863,0.90380245
101,188.90099,12.032346,106.89411,0.61225057,0.80104
102,41.763134,137.68439,167.95917,0.9726855,0.9346836
103,32.72291,109.61863,137.8871,0.8135894,0.8806425
104,29.811022,91.41647,84.77042,0.8539073,0.894976
105,139.66475,48.419853,159.06639,0.9690873,0.9335222
106,149.15991,133.38266,60.681267,0.9649356,0.9322023
107,21.558208,105.687675,184.3458,0.8780361,0.903341
108,2.6456828,93.2569,183.65881,0.854082,0.8950334
109,184.26418,114.88371,14.790191,0.36491323,0.67412174
110,61.911068,180.0988,53.668488,0.84957427,0.893468
111,158.77386,100.62585,170.52908,0.500251,0.7488666
112,55.5875,137.17325,32.493267,0.8148411,0.881104
113,59.666653,202.95775,74.25672,0.8778456,0.90325236
114,160.06877,124.81557,165.27663,0.7930128,0.8731776
115,51.044777,108.74334,133.38507,0.9615069,0.9310731
116,30.708727,15.7743635,134.9317,0.56300014,0.7789508
117,7.800093,117.354996,191.05934,0.9012973,0.9112233
118,125.933235,82.37141,8.569515,0.64255124,0.8140146
119,156.3255,115.79312,187.53018,0.88424146,0.90544957
120,88.0092,153.9087,60.98714,0.76696646,0.86352533
121,24.452366,103.11366,142.12564,0.6623487,0.8223252
122,184.23454,7.718958,2.5452087,0.44762358,0.72164583
123,36.061913,173.1066,39.543873,0.84389,0.89147496
124,182.51886,189.25946,168.30115,0.73647904,0.8519316
125,176.10498,30.55235,152.7099,0.9210028,0.9178191
126,25.443214,52.93121,188.28053,0.6543549,0.8189789
127,96.25561,115.393295,201.28596,0.8111559,0.87976384
128,91.51646,71.25914,31.380552,0.6926051,0.8346401
129,60.47188,15.172118,6.6086216,0.7921908,0.87286437
130,83.6275,199.04225,43.957405,0.52189815,0.7595176
131,48.99133,88.756714,201.00275,0.89245826,0.9082723
132,59.36589,127.92099,70.46569,0.78391916,0.8698029
133,98.81932,195.76877,135.70341,0.8904652,0.9075695
134,135.92198,44.394146,150.12099,0.6559392,0.81962913
135,80.446335,120.39379,189.68213,0.17368448,0.52632856
136,123.84301,57.816193,26.345583,0.8031484,0.8768566
137,191.53578,144.14272,182.23329,0.8485799,0.89312285
138,43.984936,189.37773,86.396904,0.7480578,0.85636985
139,44.281128,188.59251,82.56232,0.7358955,0.85167795
